metric,mean,standard_deviation,minimum,percentile_5,median,percentile_95,maximum
final_units_produced,201.081,7.650684411996875,175,188.0,203.0,214.04999999999995,222
service_level,0.5551753424657534,0.02090482770448251,0.4849315068493151,0.5205479452054794,0.5616438356164384,0.5917808219178082,0.6109589041095891
ending_backlog,162.361,7.630262112136116,142.0,149.0,160.0,175.0,188.0
a1_throughput_per_day,0.5509068493150685,0.020960779210950346,0.4794520547945205,0.5150684931506849,0.5561643835616439,0.5864383561643834,0.6082191780821918
disruptions,9.351,2.9503395573227675,1,5.0,9.0,15.0,20
