metric,mean,standard_deviation,minimum,percentile_5,median,percentile_95,maximum
final_units_produced,201.014,7.6949482426403515,179,188.0,203.0,213.04999999999995,221
service_level,0.5549479452054794,0.02103581011287916,0.4958904109589041,0.5205479452054794,0.5616438356164384,0.589041095890411,0.6082191780821918
ending_backlog,162.444,7.678070691200893,143.0,150.0,160.0,175.0,184.0
disruptions,9.362,3.0307303828131285,1,5.0,9.0,14.0,20
